18:50:32:486045|0035-00001:PSH::Tinfo UTCOffset {+05:30}
18:50:32:486081|0063-00001:JAVA::PropertyName [java.version] PropertyValue [17.0.12]
18:50:32:486094|0073-00001:JAVA::PropertyName [java.vendor] PropertyValue [Oracle Corporation]
18:50:32:486102|0083-00001:JAVA::PropertyName [java.vendor.url] PropertyValue [https://java.oracle.com/]
18:50:32:486109|0081-00001:JAVA::PropertyName [java.home] PropertyValue [C:\Program Files\Java\jdk-17]
18:50:32:486115|0075-00001:JAVA::PropertyName [java.vm.specification.version] PropertyValue [17]
18:50:32:486120|0090-00001:JAVA::PropertyName [java.vm.specification.vendor] PropertyValue [Oracle Corporation]
18:50:32:486126|0104-00001:JAVA::PropertyName [java.vm.specification.name] PropertyValue [Java Virtual Machine Specification]
18:50:32:486131|0076-00001:JAVA::PropertyName [java.vm.version] PropertyValue [17.0.12+8-LTS-286]
18:50:32:486136|0076-00001:JAVA::PropertyName [java.vm.vendor] PropertyValue [Oracle Corporation]
18:50:32:486141|0089-00001:JAVA::PropertyName [java.vm.name] PropertyValue [Java HotSpot(TM) 64-Bit Server VM]
18:50:32:486146|0072-00001:JAVA::PropertyName [java.specification.version] PropertyValue [17]
18:50:32:486151|0087-00001:JAVA::PropertyName [java.specification.vendor] PropertyValue [Oracle Corporation]
18:50:32:486156|0098-00001:JAVA::PropertyName [java.specification.name] PropertyValue [Java Platform API Specification]
18:50:32:486165|0066-00001:JAVA::PropertyName [java.class.version] PropertyValue [61.0]
